[1, 'OVERLAP', 1.0, "self.f.event_gov_verb_tense(tokenE) == 'PAST' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 41, 41]
[32, 'OVERLAP', 32.0, "self.f.event_gov_verb_tense(tokenE) == 'PAST' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_pos_token_3_precede(tokenE) == 'PUNCT' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False", 'CBA', 1.0, 27, 27]
[33, 'OVERLAP', 33.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_class(tokenE) == 'REPORTING' and self.f.event_closest_to_event_temporal_direction(tokenE) == 'after' and self.f.event_closest_to_event_tense(tokenE) == 'PAST'", 'CBA', 1.0, 27, 27]
[34, 'OVERLAP', 34.0, "self.f.event_class(tokenE) == 'STATE' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False", 'CBA', 1.0, 26, 26]
[35, 'OVERLAP', 35.0, "self.f.event_closest_to_timex3_pos(tokenT) == 'VERB' and self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto'", 'CBA', 1.0, 26, 26]
[36, 'OVERLAP', 36.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_pos_token_2_follow(tokenE) == 'ADP' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 26, 26]
[37, 'OVERLAP', 37.0, "self.f.event_pos_token_1_follow(tokenE) == 'NUM' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 26, 26]
[38, 'OVERLAP', 38.0, "self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_preposition_precede(tokenT) == 'na'", 'CBA', 1.0, 25, 25]
[39, 'OVERLAP', 39.0, "self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_relevant_lemmas(tokenT) == 'ontem'", 'CBA', 1.0, 25, 25]
[40, 'OVERLAP', 40.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.timex3_pos_token_2_follow(tokenT) == 'DET' and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 25, 25]
[41, 'OVERLAP', 41.0, "self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_pos_token_3_precede(tokenE) == 'PUNCT' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 25, 25]
[42, 'OVERLAP', 42.0, "self.f.event_closest_to_event_class(tokenE) == 'REPORTING' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 25, 25]
[43, 'OVERLAP', 43.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.timex3_dep(tokenT) == 'NMOD' and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 25, 25]
[44, 'OVERLAP', 44.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_1_precede(tokenT) == 'ADP'", 'CBA', 1.0, 25, 25]
[45, 'OVERLAP', 45.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 25, 25]
[46, 'OVERLAP', 46.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_pos_token_3_precede(tokenE) == 'PUNCT' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False", 'CBA', 1.0, 25, 25]
[47, 'OVERLAP', 47.0, "self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False and self.f.timex3_pos_token_3_precede(tokenT) == 'DET'", 'CBA', 1.0, 25, 25]
[48, 'OVERLAP', 48.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_pos_token_1_follow(tokenE) == 'ADP' and self.f.event_pos_token_3_follow(tokenE) == 'PUNCT'", 'CBA', 1.0, 25, 25]
[49, 'OVERLAP', 49.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_head_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 24, 24]
[50, 'OVERLAP', 50.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_pos(tokenE) == 'NOUN' and self.f.event_pos_token_1_precede(tokenE) == 'PROPN'", 'CBA', 1.0, 24, 24]
[51, 'OVERLAP', 51.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_1_precede(tokenE) == 'PROPN' and self.f.event_pos_token_3_precede(tokenE) == 'NOUN'", 'CBA', 1.0, 24, 24]
[52, 'OVERLAP', 52.0, "self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 24, 24]
[53, 'OVERLAP', 53.0, "self.f.event_closest_to_event_class(tokenE) == 'OCCURRENCE' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos(tokenT) == 'ADV'", 'CBA', 1.0, 24, 24]
[54, 'OVERLAP', 54.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.reichenbach_tense(tokenE, tokenT) == 'simples' and self.f.timex3_pos_token_3_follow(tokenT) == 'ADP'", 'CBA', 1.0, 24, 24]
[55, 'OVERLAP', 55.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_dep(tokenE) == 'ROOT' and self.f.event_pos_token_1_follow(tokenE) == 'ADP' and self.f.timex3_gov_verb_tense(tokenT) == 'PAST'", 'CBA', 1.0, 24, 24]
[56, 'OVERLAP', 56.0, "self.f.event_closest_to_event_pos(tokenE) == 'VERB' and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 24, 24]
[57, 'OVERLAP', 57.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT'", 'CBA', 1.0, 24, 24]
[58, 'OVERLAP', 58.0, "self.f.event_closest_to_event_class(tokenE) == 'OCCURRENCE' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 24, 24]
[59, 'OVERLAP', 59.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.event_pos_token_3_precede(tokenE) == 'PUNCT' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False", 'CBA', 1.0, 24, 24]
[60, 'OVERLAP', 60.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.timex3_head_pos(tokenT) == 'NOUN' and self.f.timex3_pos(tokenT) == 'NOUN' and self.f.timex3_pos_token_1_follow(tokenT) == 'VERB'", 'CBA', 1.0, 24, 24]
[61, 'OVERLAP', 61.0, "self.f.event_closest_to_event_pos(tokenE) == 'VERB' and self.f.event_closest_to_timex3_pos(tokenT) == 'NOUN' and self.f.event_dep(tokenE) == 'OBJ' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto'", 'CBA', 1.0, 24, 24]
[62, 'AFTER', 62.0, "self.f.event_class(tokenE) == 'REPORTING' and self.f.event_gov_verb_tense(tokenE) == 'PAST' and self.f.timex3_gov_verb_tense(tokenT) == 'PAST' and self.f.timex3_pos_token_2_follow(tokenT) == 'NUM'", 'CBA', 1.0, 24, 24]
[63, 'OVERLAP', 63.0, "self.f.event_pos_token_1_follow(tokenE) == 'NUM' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT' and self.f.timex3_pos_token_1_precede(tokenT) == 'ADP'", 'CBA', 1.0, 24, 24]
[64, 'OVERLAP', 64.0, "self.f.event_pos_token_2_precede(tokenE) == 'VERB' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 23, 23]
[65, 'OVERLAP', 65.0, "self.f.event_pos_token_3_precede(tokenE) == 'PUNCT' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET' and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 23, 23]
[66, 'OVERLAP', 66.0, "self.f.event_temporal_direction(tokenE) == 'after' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_1_precede(tokenT) == 'VERB'", 'CBA', 1.0, 23, 23]
[67, 'OVERLAP', 67.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_1_precede(tokenE) == 'PROPN' and self.f.timex3_pos_token_1_precede(tokenT) == 'VERB'", 'CBA', 1.0, 23, 23]
[68, 'OVERLAP', 68.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_dep(tokenE) == 'ROOT' and self.f.timex3_preposition_precede(tokenT) == 'na'", 'CBA', 1.0, 23, 23]
[69, 'OVERLAP', 69.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_temporal_direction(tokenE) == 'after' and self.f.timex3_gov_verb_tense(tokenT) == 'PAST'", 'CBA', 1.0, 23, 23]
[70, 'OVERLAP', 70.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.timex3_pos_token_2_precede(tokenT) == 'NOUN' and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 23, 23]
[71, 'OVERLAP', 71.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_class(tokenE) == 'OCCURRENCE' and self.f.event_pos_token_2_follow(tokenE) == 'NOUN' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET'", 'CBA', 1.0, 23, 23]
[72, 'OVERLAP', 72.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_1_precede(tokenT) == 'ADP' and self.f.timex3_type(tokenT) == 'DURATION'", 'CBA', 1.0, 23, 23]
[73, 'OVERLAP', 73.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_closest_to_event_pos(tokenE) == 'VERB' and self.f.event_pos_token_2_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto'", 'CBA', 1.0, 23, 23]
[74, 'OVERLAP', 74.0, "self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_2_follow(tokenT) == 'VERB' and self.f.timex3_type(tokenT) == 'DATE'", 'CBA', 1.0, 23, 23]
[75, 'OVERLAP', 75.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_closest_to_timex3_pos(tokenT) == 'NOUN' and self.f.event_dep(tokenE) == 'OBJ' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto'", 'CBA', 1.0, 23, 23]
[76, 'BEFORE', 76.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_dep(tokenE) == 'ROOT' and self.f.reichenbach_direct_modification(tokenE, tokenT) == False and self.f.timex3_relevant_lemmas(tokenT) == 'próximo'", 'CBA', 1.0, 23, 23]
[77, 'OVERLAP', 77.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_equal_class(tokenE) == True and self.f.event_pos_token_2_precede(tokenE) == 'DET'", 'CBA', 1.0, 22, 22]
[78, 'OVERLAP', 78.0, "self.f.event_pos_token_2_follow(tokenE) == 'NUM' and self.f.timex3_gov_verb_tense(tokenT) == 'PAST' and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 22, 22]
[79, 'OVERLAP', 79.0, "self.f.event_dep(tokenE) == 'ROOT' and self.f.timex3_pos(tokenT) == 'ADV' and self.f.timex3_pos_token_2_precede(tokenT) == 'PROPN'", 'CBA', 1.0, 22, 22]
[80, 'OVERLAP', 80.0, "self.f.event_pos_token_1_precede(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT'", 'CBA', 1.0, 22, 22]
[81, 'OVERLAP', 81.0, "self.f.event_closest_to_event_pos(tokenE) == 'VERB' and self.f.event_closest_to_timex3_pos(tokenT) == 'NOUN' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT'", 'CBA', 1.0, 22, 22]
[82, 'OVERLAP', 82.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_pos_token_2_follow(tokenE) == 'NOUN' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_2_precede(tokenT) == 'NOUN'", 'CBA', 1.0, 22, 22]
[83, 'OVERLAP', 83.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_closest_to_event_temporal_direction(tokenE) == 'after' and self.f.event_closest_to_event_tense(tokenE) == 'PAST' and self.f.timex3_pos(tokenT) == 'NOUN'", 'CBA', 1.0, 22, 22]
[84, 'OVERLAP', 84.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_pos_token_2_follow(tokenE) == 'ADP' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_pos_token_1_follow(tokenT) == 'ADP'", 'CBA', 1.0, 22, 22]
[85, 'AFTER', 85.0, "self.f.event_class(tokenE) == 'REPORTING' and self.f.timex3_gov_verb_tense(tokenT) == 'PAST' and self.f.timex3_head_pos(tokenT) == 'NOUN' and self.f.timex3_pos_token_2_follow(tokenT) == 'NUM'", 'CBA', 1.0, 22, 22]
[86, 'OVERLAP', 86.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_temporal_direction(tokenE) == 'after' and self.f.timex3_gov_verb_tense(tokenT) == 'PAST' and self.f.timex3_pos_token_1_precede(tokenT) == 'VERB'", 'CBA', 1.0, 22, 22]
[87, 'OVERLAP', 87.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_dep(tokenE) == 'ROOT' and self.f.event_pos_token_2_precede(tokenE) == 'ADP' and self.f.event_preposition_precede(tokenE) == 'da'", 'CBA', 1.0, 22, 22]
[88, 'OVERLAP', 88.0, "self.f.event_closest_to_event_pos(tokenE) == 'VERB' and self.f.event_pos_token_2_follow(tokenE) == 'ADP' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True", 'CBA', 1.0, 21, 21]
[89, 'OVERLAP', 89.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == True and self.f.timex3_pos_token_1_follow(tokenT) == 'PUNCT'", 'CBA', 1.0, 21, 21]
[90, 'OVERLAP', 90.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == True and self.f.timex3_preposition_precede(tokenT) == 'no'", 'CBA', 1.0, 21, 21]
[91, 'OVERLAP', 91.0, "self.f.event_pos_token_1_precede(tokenE) == 'PROPN' and self.f.event_pos_token_2_precede(tokenE) == 'DET' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.timex3_head_pos(tokenT) == 'VERB'", 'CBA', 1.0, 21, 21]
[92, 'OVERLAP', 92.0, "self.f.event_class(tokenE) == 'OCCURRENCE' and self.f.event_pos_token_3_follow(tokenE) == 'ADP' and self.f.timex3_pos_token_2_follow(tokenT) == 'DET' and self.f.timex3_pos_token_3_follow(tokenT) == 'NOUN'", 'CBA', 1.0, 21, 21]
[93, 'OVERLAP', 93.0, "self.f.event_dep(tokenE) == 'ROOT' and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False and self.f.timex3_pos(tokenT) == 'ADV'", 'CBA', 1.0, 21, 21]
[94, 'OVERLAP', 94.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_timex3_distance(tokenE, tokenT) == 'perto' and self.f.timex3_gov_verb_tense(tokenT) == 'PRES' and self.f.timex3_pos(tokenT) == 'ADV'", 'CBA', 1.0, 21, 21]
[95, 'OVERLAP', 95.0, "self.f.event_closest_to_event_equal_class(tokenE) == False and self.f.event_dep(tokenE) == 'OBJ' and self.f.event_pos_token_2_precede(tokenE) == 'VERB' and self.f.event_timex3_distance(tokenE, tokenT) == 'perto'", 'CBA', 1.0, 21, 21]
[96, 'OVERLAP', 96.0, "self.f.event_between_order(tokenE, tokenT) == False and self.f.event_pos_token_2_precede(tokenE) == 'ADP' and self.f.event_pos_token_3_precede(tokenE) == 'NOUN' and self.f.event_preposition_precede(tokenE) == 'da'", 'CBA', 1.0, 21, 21]
[97, 'OVERLAP', 97.0, "self.f.event_pos_token_1_follow(tokenE) == 'NUM' and self.f.event_pos_token_2_follow(tokenE) == 'NUM' and self.f.reichenbach_temporal_mod_function(tokenE, tokenT) == False and self.f.timex3_gov_verb_tense(tokenT) == 'PAST'", 'CBA', 1.0, 21, 21]
[98, 'OVERLAP', 98.0, "self.f.event_gov_verb_tense(tokenE) == 'PAST' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_3_follow(tokenT) == 'ADP'", 'CBA', 1.0, 20, 20]
[99, 'OVERLAP', 99.0, "self.f.event_class(tokenE) == 'REPORTING' and self.f.reichenbach_direct_modification(tokenE, tokenT) == True and self.f.timex3_pos_token_1_precede(tokenT) == 'VERB'", 'CBA', 1.0, 20, 20]
[100, 'OVERLAP', 100.0, "self.f.reichenbach_tense(tokenE, tokenT) == 'simples' and self.f.timex3_pos(tokenT) == 'ADV' and self.f.timex3_pos_token_2_precede(tokenT) == 'PROPN'", 'CBA', 1.0, 20, 20]
